acquirer,match1,match2,match3,match4,match5
Chemical Financial,,,,,
First Merchants,FIRST MERCHANTS CORPORATION,FIRST FARMERS AND MERCHANTS CORPORATION,FARMERS & MERCHANTS BANCORP,"FARMERS & MERCHANTS AGENCY, INC.","FARMERS & MERCHANTS INVESTMENT, INC."
Plaza Bank,BNP PARIBAS,PLUMAS BANCORP,PALM BANCORP,PATHWAY BANCORP,"PLAZA AGENCY, INC."
Cathay Gen Bancorp,CATHAY GENERAL BANCORP,"CAMP GROVE BANCORP, INC.","COASTWAY BANCORP, INC",OFG BANCORP,CU BANCORP
Unitedmmunity Banks,COMMUNITY BANK CORP.,"UNITED COMMUNITY BANKS, INC.",BRIDGE COMMUNITY BANK ESOP,COMMUNITY BANCORP,"BANKUNITED, INC."
Farmers National Banc,FARMERS NATIONAL BANC CORP.,"FARMERS NATIONAL BANCSHARES, INC.",FIRST NATIONAL BANCORP,FIRST NATIONAL BANK CORP.,FARMERS BANCORP INC.
Ameris Bancorp,AMERIS BANCORP,AMERIANA BANCORP,AMBANCORP,"AMERICAN BANCORP, INC.",FIRST AMERICAN BANCORP
Sunshine Bancorp,SIDNEY BANCORP,SUSSEX BANCORP,SAN BANCORP.,UFS BANCORP,U.S. BANCORP
Horizon Bancorp,HORIZON BANCORP,"HORIZON BANCORP, INC.","HONOR BANCORP, INC.","HOWARD BANCORP, INC.",BRIGHTON BANCORP
Wintrust Financial,WINTRUST FINANCIAL CORPORATION,WOODTRUST FINANCIAL CORP,"TGR FINANCIAL, INC.","KRAUSE FINANCIAL, INC.","SV FINANCIAL, INC."
PacWest Bancorp,PACWEST BANCORP,CALWEST BANCORP,PATHWAY BANCORP,ALL WEST BANCORP,PBB BANCORP
WSFS Financial,"WSB FINANCIAL, LTD",FSB FINANCIAL CORP,WVS FINANCIAL CORP.,"GLAASS FINANCIAL, LLC",WELLS FINANCIAL CORP.
Howard Bancorp,"HOWARD BANCORP, INC.",HAZARD BANCORP,ORCHARD BANCORP.,PATHWAY BANCORP,HORIZON BANCORP
Western Alliance Bancorp,,,,,
Veritex Holdings,,,,,
Carolina Alliance Bank,,,,,
Seacoast Bankg of Florida,,,,,
First Interstate BancSystem In,,,,,
Wintrust Financial,,,,,
Camden National,,,,,
Delmarva Bancshares,,,,,
First Finl Bankshares,,,,,
Wintrust Financial,,,,,
Pinnacle Financial Partners,,,,,
Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.","HARTLAND FINANCIAL, INC.","WSB FINANCIAL, LTD","SV FINANCIAL, INC.",BNH FINANCIAL
Hamilton Bancorp,HEMET BANCORP,HORIZON BANCORP,HOMETOWN BANC CORP,WASHINGTON BANCORP,BRIGHTON BANCORP
CenterState Banks,"CENTERSTATE BANKS, INC.",STATE BANK CORP.,EXCHANGE STATE BANK CORP.,"ROCHESTER STATE BANKSHARES, INC.","CENTRAL-STATE BANCORP, INC."
Unitedmmunity Banks,COMMUNITY BANK CORP.,"UNITED COMMUNITY BANKS, INC.",BRIDGE COMMUNITY BANK ESOP,COMMUNITY BANCORP,"BANKUNITED, INC."
Heritagemmerce,"HERITAGE GROUP, INC.",HERITAGE BANCORP,"HERITAGE BANCORP, INC.","COMMERCE BANCSHARES, INC.","HERITAGE BANCSHARES, INC."
Merchants Bancshares,"MERCHANTS BANCSHARES, INC.","MERCHANTS & FARMERS BANCSHARES, INC.","FARMERS & MERCHANTS BANCSHARES, INC.","MERCHANTS AND FARMERS BANCSHARES, INC.","FARMERS AND MERCHANTS BANCSHARES, INC."
Pinnacle Financial Partners,"PINNACLE FINANCIAL PARTNERS, INC.",PINNACLE FINANCIAL CORPORATION,"FTS FINANCIAL, INC.","OCEANPOINT FINANCIAL PARTNERS, MHC","FIRST PARTNERS FINANCIAL, INC."
Bank of the Ozarks,BANK OF THE OZARKS INC,"BANK OF NOVA SCOTIA, THE",BANK OF THE CAROLINAS CORPORATION,"FIRST BANK SHARES OF THE SOUTH EAST, INC.","BANK OF THE JAMES FINANCIAL GROUP, INC."
Baylake,BAYLAKE CORP.,WALKER BAN CO.,COLBANK BANCORP,"STATE BANCO, LTD.","LAKESIDE BANCORP, INC."
Firstmmonwealth Finl,"FIRST WESTERN FINANCIAL, INC.","FIRST FINANCIAL NORTHWEST, INC.",FIRST PERSONAL FINANCIAL CORP.,"NEW MEXICO FIRST FINANCIAL, INC.","FIRST FINANCIAL HOLDING CO., LTD."
FNB Bancorp,FNB BANCORP,"FNB BANCORP, INC.",MNB BANCORP,CNB BANCORP,FSB BANCORP
Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.","HARTLAND FINANCIAL, INC.","WSB FINANCIAL, LTD","SV FINANCIAL, INC.",BNH FINANCIAL
Southwest Bancorp,,,,,
Green Bancorp,,,,,
FNB,,,,,
Heartland Financial USA,,,,,
BNC Bancorp,,,,,
Home BancShares,,,,,
PBB Bancorp,,,,,
Northwest Bancorp,,,,,
Juniata Valley Financial,,,,,
First Merchants,,,,,
Citizens Finl Svcs,,,,,
Premier Finl Bancorp,,,,,
Nationalmmerce,YALE BANCORPORATION,"FARMERS BANCORPORATION, INC.",WESTAMERICA BANCORPORATION,"CALUMET BANCORPORATION, INC.",MERCANTILE BANK CORPORATION
Amer Riviera Bank,AMERICAN RIVER BANKSHARES,AMERIS BANCORP,"MID AMERICA BANKS, INC.",BAKER BOYER BANCORP,PINE RIVER BANK CORP.
Preferred Bank,"PREFERRED BANCORP, INC.","PIONEER BANK SHARES, INC.",FIRST PIONEER BANK CORP.,"PIONEER BANKCORP, INC.",PINE RIVER BANK CORP.
Independent Bank Group,"INDEPENDENT BANK GROUP, INC.",INDEPENDENT BANK CORP.,INDEPENDENT BANK CORPORATION,"MIDWEST BANK GROUP, INC.","PRIME BANK GROUP, INC."
Suncrest Bank,"SUNTRUST BANKS, INC.",ST BANC CORP.,FIRST BANK CORP,"ESPUELA BANK SHARES, INC.",STATE BANK CORP.
Glacier Bancorp,"GLACIER BANCORP, INC.","GC BANCORP, INC.",CU BANCORP,OFG BANCORP,CEDAR BANCORP
FNB,"FNB, INC.",FNB BANCORP,FNB COMPANY,"FNB SHARES, INC.",FNB CORPORATION
Lakeland Bancorp,"LAKELAND BANCORP, INC.",TIMBERLAND BANCORP,HEARTLAND BANCCORP,CORTLAND BANCORP,"IRELAND BANCORP, LTD."
Old Line Bancshares,"OLD LINE BANCSHARES, INC.","ROYAL BANCSHARES, INC.","NOBLE BANCSHARES, INC.","VOGEL BANCSHARES, INC.","MOHLER BANCSHARES, INC."
Prosperity Bancshares,"PROSPERITY BANCSHARES, INC.",SECURITY BANCSHARES CO.,"HOPE BANCSHARES, INC.","PORT BANCSHARES, INC.","BOSP BANCSHARES, INC."
BNC Bancorp,BNC BANCORP,NCAL BANCORP,BRUNSWICK BANCORP,"CNB BANCORP, INC.","FNB BANCORP, INC."
BB&T,BB&T CORPORATION,BBS CORP.,"CSB&T BANCORP, INC.","CB&T BANCSHARES, INC.",SVB&T CORPORATION
Oak Valley Bancorp,,,,,
California Bank ofmmerce,,,,,
Park Sterling,,,,,
Ameris Bancorp,,,,,
Pacific Premier Bancorp,,,,,
CenterState Banks,,,,,
Republic Bancorp,,,,,
Yadkin Financial,,,,,
Bank of the Ozarks,,,,,
Revere Bank,,,,,
Renasant,,,,,
Southern BancShares(NC)Inc,,,,,
Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.","HARTLAND FINANCIAL, INC.","WSB FINANCIAL, LTD","SV FINANCIAL, INC.",BNH FINANCIAL
Fidelity Southern,FIDELITY SOUTHERN CORPORATION,"FIRST SOUTHERN BANCORP, INC.",BANCORP OF SOUTHERN INDIANA,"FIDELITY BANCSHARES, INC.","SOUTHWEST SECURITY, INC."
German American Bancorp,"GERMAN AMERICAN BANCORP, INC.",FIRST AMERICAN BANCORP,"AMERICAN BANCORP, INC.",AMERIANA BANCORP,"AMERICAN CHARTERED BANCORP, INC."
KeyCorp,KEYCORP,KENBANCORP,BAYLAKE CORP.,CENTURY BANK CORP.,"ELKCORP, INC."
Seacoast Bankg of Florida,STATE BANK OF INDIA,"COMMUNITY BANK OF SOUTH FLORIDA, INC.","BRANNEN BANKS OF FLORIDA, INC.","BANK OF NOVA SCOTIA, THE",STATE BANK CORP.
Cardinal Bankshares,CARDINAL BANKSHARES CORPORATION,"CBA BANKSHARES, INC.","CARLSON BANKSHARES, INC.","CHARTER BANKSHARES, INC.","PALCO BANKSHARES, INC."
Bank of the Ozarks,BANK OF THE OZARKS INC,"BANK OF NOVA SCOTIA, THE",BANK OF THE CAROLINAS CORPORATION,"FIRST BANK SHARES OF THE SOUTH EAST, INC.","BANK OF THE JAMES FINANCIAL GROUP, INC."
United Bankshares,"UNITED BANKSHARES, INC.","UNITED BANCSHARES, INC.","UNION BANKSHARES, INC.","GUARANTY BANKSHARES, LTD.","UNITY BANCSHARES, L.L.C."
BNC Bancorp,BNC BANCORP,NCAL BANCORP,BRUNSWICK BANCORP,"CNB BANCORP, INC.","FNB BANCORP, INC."
County Bancorp,TRI-COUNTY BANCORP.,COUNTY BANK CORP,"COUNTY BANCORP, INC.",CU BANCORP,COMMUNITY BANCORP
MB Financial,"MB FINANCIAL, INC.","MSB FINANCIAL, INC.",MBT FINANCIAL CORP.,MVB FINANCIAL CORP.,"HAMBURG FINANCIAL, INC."
Hanmi Financial,HANMI FINANCIAL CORPORATION,"HAMBURG FINANCIAL, INC.","HARTLAND FINANCIAL, INC.","HOHL FINANCIAL, INC.",HAINES FINANCIAL CORP
Capital Bank Financial,,,,,
WSFS Financial,,,,,
Great Western Bancorp,,,,,
Charter Financial,,,,,
BBCN Bancorp,,,,,
BOK Financial,,,,,
Franklin Financial Network,,,,,
Pacificmmerce Bank,,,,,
,,,,,
Pacificmmerce Bank,,,,,
