,0 1
0,1 1
1,2 21
2,3 21
3,4 21
4,5 25
5,6 25
6,7 14
7,8 14
8,9 14
9,10 9
10,11 14
11,12 14
12,13 26
13,14 4
14,15 17
15,16 34
16,17 1
17,18 1
18,19 14
19,20 9
20,21 9
21,22 9
22,23 11
23,24 11
24,25 11
25,26 11
26,27 11
27,28 11
28,29 11
29,30 11
30,31 11
31,32 11
32,33 11
33,34 11
34,35 11
35,36 11
36,37 11
37,38 11
38,39 11
39,40 11
40,41 5
41,42 34
42,43 14
43,44 14
44,45 17
45,46 17
46,47 10
47,48 10
48,49 36
49,50 37
50,51 5
51,52 7
52,53 4
53,54 22
54,55 22
55,56 21
56,57 21
57,58 21
58,59 21
59,60 7
60,61 7
61,62 36
62,63 21
63,64 25
64,65 4
65,66 8
66,67 15
67,68 15
68,69 15
69,70 37
70,71 37
71,72 9
72,73 1
73,74 1
74,75 10
75,76 10
76,77 3
77,78 3
78,79 3
79,80 29
80,81 15
81,82 36
82,83 36
83,84 37
84,85 1
85,86 36
86,87 34
87,88 20
88,89 20
89,90 8
90,91 15
91,92 9
92,93 4
93,94 5
94,95 4
95,96 20
96,97 16
97,98 16
98,99 16
99,100 16
100,101 16
101,102 38
102,103 7
103,104 7
104,105 34
105,106 38
106,107 36
107,108 8
108,109 27
109,110 8
110,111 8
111,112 8
112,113 10
113,114 10
114,115 13
115,116 13
116,117 6
117,118 26
118,119 10
119,120 1
120,121 36
121,122 0
122,123 13
123,124 16
124,125 16
125,126 22
126,127 6
127,128 5
128,129 4
129,130 0
130,131 28
131,132 28
132,133 4
133,134 2
134,135 13
135,136 13
136,137 21
137,138 21
138,139 17
139,140 17
140,141 14
141,142 36
142,143 8
143,144 40
144,145 35
145,146 15
146,147 23
147,148 0
148,149 0
149,150 7
150,151 10
151,152 37
152,153 27
153,154 35
154,155 35
155,156 0
156,157 0
157,158 19
158,159 19
159,160 36
160,161 14
161,162 37
162,163 24
163,164 17
164,165 13
165,166 36
166,167 4
167,168 4
168,169 13
169,170 13
170,171 10
171,172 4
172,173 38
173,174 32
174,175 32
175,176 4
176,177 1
177,178 0
178,179 0
179,180 0
180,181 7
181,182 7
182,183 4
183,184 15
184,185 16
185,186 40
186,187 15
187,188 15
188,189 15
189,190 15
190,191 0
191,192 21
192,193 21
193,194 21
194,195 21
195,196 5
196,197 4
197,198 4
198,199 4
199,200 4
200,201 4
201,202 4
202,203 4
203,204 5
204,205 5
205,206 4
206,207 4
207,208 22
208,209 19
209,210 19
210,211 22
211,212 34
212,213 14
213,214 0
214,215 1
215,216 17
216,217 37
217,218 1
218,219 1
219,220 1
220,221 1
221,222 1
222,223 1
223,224 1
224,225 1
225,226 1
226,227 1
227,228 1
228,229 10
229,230 23
230,231 0
231,232 4
232,233 19
233,234 19
234,235 19
235,236 19
236,237 19
237,238 19
238,239 19
239,240 19
240,241 19
241,242 19
242,243 19
243,244 19
244,245 10
245,246 14
246,247 14
247,248 1
248,249 14
249,250 7
250,251 13
251,252 20
252,253 31
253,254 40
254,255 6
255,256 4
256,257 0
257,258 8
258,259 9
259,260 9
260,261 10
261,262 0
262,263 10
263,264 14
264,265 14
265,266 14
266,267 14
267,268 39
268,269 17
269,270 4
270,271 28
271,272 17
272,273 17
273,274 17
274,275 4
275,276 4
276,277 0
277,278 0
278,279 23
279,280 4
280,281 21
281,282 36
282,283 36
283,284 0
284,285 22
285,286 21
286,287 15
287,288 37
288,289 0
289,290 4
290,291 4
291,292 4
292,293 14
293,294 4
294,295 7
295,296 7
296,297 1
297,298 15
298,299 15
299,300 38
300,301 26
301,302 20
302,303 20
303,304 20
304,305 21
305,306 9
306,307 1
307,308 1
308,309 1
309,310 1
310,311 1
311,312 1
312,313 1
313,314 1
314,315 1
315,316 1
316,317 1
317,318 10
318,319 19
319,320 7
320,321 7
321,322 17
322,323 16
323,324 14
324,325 9
325,326 9
326,327 9
327,328 8
328,329 8
329,330 13
330,331 39
331,332 14
332,333 10
333,334 17
334,335 17
335,336 13
336,337 13
337,338 13
338,339 13
339,340 2
340,341 1
341,342 0
342,343 0
343,344 0
344,345 0
345,346 0
346,347 0
347,348 0
348,349 0
349,350 0
350,351 0
351,352 0
352,353 16
353,354 16
354,355 27
355,356 8
356,357 8
357,358 14
358,359 14
359,360 14
360,361 10
361,362 14
362,363 35
363,364 37
364,365 14
365,366 36
366,367 10
367,368 7
368,369 20
369,370 10
370,371 16
371,372 36
372,373 36
373,374 14
374,375 8
375,376 7
376,377 7
377,378 7
378,379 7
379,380 7
380,381 7
381,382 7
382,383 7
383,384 7
384,385 7
385,386 7
386,387 7
387,388 7
388,389 7
389,390 7
390,391 7
391,392 7
392,393 7
393,394 7
394,395 7
395,396 7
396,397 7
397,398 7
398,399 4
399,400 9
400,401 4
401,402 0
402,403 4
403,404 16
404,405 38
405,406 14
406,407 14
407,408 21
408,409 26
409,410 27
410,411 28
411,412 21
412,413 4
413,414 1
414,415 1
415,416 9
416,417 10
417,418 15
418,419 4
419,420 26
420,421 14
421,422 35
422,423 10
423,424 34
424,425 4
425,426 4
426,427 12
427,428 17
428,429 17
429,430 14
430,431 37
431,432 37
432,433 37
433,434 34
434,435 6
435,436 13
436,437 13
437,438 13
438,439 13
439,440 4
440,441 14
441,442 10
442,443 10
443,444 10
444,445 3
445,446 17
446,447 17
447,448 17
448,449 1
449,450 4
450,451 14
451,452 14
452,453 6
453,454 27
454,455 22
455,456 21
456,457 4
457,458 4
458,459 1
459,460 34
460,461 17
461,462 30
462,463 30
463,464 4
464,465 23
465,466 14
466,467 15
467,468 1
468,469 22
469,470 12
470,471 31
471,472 6
472,473 15
473,474 15
474,475 8
475,476 15
476,477 8
477,478 8
478,479 1
479,480 15
480,481 22
481,482 2
482,483 3
483,484 4
484,485 10
485,486 4
486,487 14
487,488 14
488,489 25
489,490 6
490,491 6
491,492 40
492,493 4
493,494 36
494,495 23
495,496 14
496,497 3
497,498 14
498,499 14
499,500 14
500,501 14
501,502 14
502,503 14
503,504 14
504,505 14
505,506 14
506,507 31
507,508 15
508,509 15
509,510 14
510,511 0
511,512 23
512,513 35
513,514 8
514,515 4
515,516 1
516,517 1
517,518 35
518,519 23
519,520 21
520,521 2
521,522 4
522,523 4
523,524 9
524,525 14
525,526 4
526,527 10
527,528 25
528,529 14
529,530 14
530,531 3
531,532 21
532,533 35
533,534 4
534,535 9
535,536 15
536,537 6
537,538 9
538,539 3
539,540 15
540,541 23
541,542 4
542,543 4
543,544 4
544,545 11
545,546 35
546,547 10
547,548 6
548,549 15
549,550 15
550,551 15
551,552 22
552,553 2
553,554 2
554,555 14
555,556 4
556,557 3
557,558 14
558,559 27
559,560 31
560,561 34
561,562 4
562,563 4
563,564 19
564,565 14
565,566 14
566,567 4
567,568 4
568,569 14
569,570 14
570,571 21
571,572 4
572,573 14
573,574 4
574,575 0
575,576 4
576,577 27
577,578 27
578,579 17
579,580 16
580,581 3
581,582 15
582,583 2
583,584 4
584,585 4
585,586 21
586,587 21
587,588 11
588,589 23
589,590 11
590,591 23
591,592 17
592,593 5
593,594 36
594,595 15
595,596 23
596,597 23
597,598 2
598,599 19
599,600 4
600,601 36
601,602 14
602,603 1
603,604 22
604,605 1
605,606 21
606,607 34
607,608 14
608,609 13
609,610 6
610,611 4
611,612 37
612,613 6
613,614 24
614,615 35
615,616 6
616,617 17
617,618 16
618,619 6
619,620 4
620,621 0
621,622 21
622,623 4
623,624 26
624,625 21
625,626 4
626,627 15
627,628 7
628,629 1
629,630 20
630,631 19
631,632 7
632,633 21
633,634 21
634,635 21
635,636 21
636,637 19
637,638 38
638,639 19
639,640 16
640,641 23
641,642 6
642,643 37
643,644 25
644,645 1
645,646 22
646,647 6
647,648 21
648,649 14
649,650 1
650,651 26
651,652 8
652,653 7
653,654 37
654,655 4
655,656 0
656,657 17
657,658 14
658,659 6
659,660 17
660,661 14
661,662 16
662,663 15
663,664 4
664,665 32
665,666 14
666,667 15
667,668 0
668,669 23
669,670 21
670,671 29
671,672 14
672,673 23
673,674 14
674,675 1
675,676 17
676,677 26
677,678 15
678,679 29
679,680 0
680,681 0
681,682 0
682,683 22
683,684 34
684,685 21
685,686 6
686,687 16
687,688 4
688,689 4
689,690 15
690,691 21
691,692 0
692,693 36
693,694 4
694,695 23
695,696 1
696,697 1
697,698 22
698,699 14
699,700 14
700,701 30
701,702 4
702,703 9
703,704 10
704,705 4
705,706 4
706,707 14
707,708 16
708,709 16
709,710 15
710,711 21
711,712 0
712,713 15
713,714 4
714,715 15
715,716 29
716,717 24
717,718 21
718,719 7
719,720 14
720,721 11
721,722 11
722,723 9
723,724 13
724,725 10
725,726 31
726,727 4
727,728 22
728,729 14
729,730 23
730,731 1
731,732 4
732,733 9
733,734 1
734,735 17
735,736 27
736,737 28
737,738 22
738,739 14
739,740 20
740,741 7
741,742 23
742,743 1
743,744 4
744,745 6
745,746 15
746,747 15
747,748 23
748,749 4
749,750 20
750,751 5
751,752 36
752,753 10
753,754 14
754,755 21
755,756 39
756,757 10
757,758 41
758,759 31
759,760 17
760,761 7
761,762 21
762,763 34
763,764 1
764,765 14
765,766 2
766,767 18
767,768 16
768,769 27
769,770 16
770,771 38
771,772 7
772,773 38
773,774 21
774,775 1
775,776 5
776,777 9
777,778 15
778,779 15
779,780 15
780,781 0
781,782 6
782,783 23
783,784 28
784,785 11
785,786 23
786,787 34
787,788 24
788,789 4
789,790 4
790,791 4
791,792 24
792,793 23
793,794 17
794,795 10
795,796 17
796,797 1
797,798 1
798,799 15
799,800 15
800,801 4
801,802 4
802,803 21
803,804 14
804,805 14
805,806 20
806,807 28
807,808 20
808,809 22
809,810 26
810,811 3
811,812 32
812,813 4
813,814 0
814,815 21
815,816 13
816,817 4
817,818 15
818,819 17
819,820 5
820,821 24
821,822 4
822,823 14
823,824 0
824,825 9
825,826 21
826,827 14
827,828 38
828,829 4
829,830 14
830,831 31
831,832 21
832,833 14
833,834 6
834,835 4
835,836 4
836,837 6
837,838 17
838,839 0
839,840 4
840,841 7
841,842 16
842,843 4
843,844 4
844,845 21
845,846 1
846,847 10
847,848 3
848,849 21
849,850 4
850,851 0
851,852 1
852,853 7
853,854 17
854,855 15
855,856 14
856,857 0
857,858 9
858,859 32
859,860 13
860,861 5
861,862 2
862,863 21
863,864 28
864,865 21
865,866 22
866,867 22
867,868 7
868,869 7
869,870 33
870,871 0
871,872 1
872,873 15
873,874 4
874,875 31
875,876 30
876,877 15
877,878 11
878,879 19
879,880 21
880,881 9
881,882 21
882,883 13
883,884 21
884,885 9
885,886 32
886,887 9
887,888 32
888,889 38
889,890 9
890,891 38
891,892 38
892,893 14
893,894 9
894,895 10
895,896 38
896,897 10
897,898 22
898,899 21
899,900 13
900,901 21
901,902 4
902,903 0
903,904 1
904,905 1
905,906 23
906,907 0
907,908 5
908,909 4
909,910 4
910,911 15
911,912 14
912,913 14
913,914 13
914,915 11
915,916 1
916,917 5
917,918 5
918,919 10
919,920 23
920,921 21
921,922 14
922,923 9
923,924 20
924,925 10
925,926 19
926,927 19
927,928 21
928,929 17
929,930 19
930,931 19
931,932 36
932,933 17
933,934 35
934,935 16
935,936 4
936,937 16
937,938 4
938,939 6
939,940 4
940,941 41
941,942 6
942,943 7
943,944 23
944,945 9
945,946 23
946,947 7
947,948 6
948,949 22
949,950 36
950,951 14
951,952 15
952,953 11
953,954 35
954,955 5
955,956 14
956,957 14
957,958 15
958,959 4
959,960 6
960,961 4
961,962 9
962,963 19
963,964 11
964,965 4
965,966 29
966,967 14
967,968 15
968,969 15
969,970 5
970,971 32
971,972 15
972,973 14
973,974 5
974,975 9
975,976 10
976,977 19
977,978 13
978,979 23
979,980 12
980,981 10
981,982 21
982,983 10
983,984 35
984,985 7
985,986 22
986,987 22
987,988 22
988,989 8
989,990 21
990,991 32
991,992 4
992,993 21
993,994 21
994,995 6
995,996 14
996,997 11
997,998 14
998,999 15
999,1000 4
1000,1001 21
1001,1002 1
1002,1003 6
1003,1004 22
